species_id	tax_id	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Anthopleura_elegantissima_REEFv1	6110	Anthopleura elegantissima	Anthopleura	NA	Actiniidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Astreopora_myriophthalma_SLJPv2	102202	Astreopora myriophthalma	Astreopora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Astreopora_sp_REEFv1	2643297	NA	Astreopora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_ALTOv1	6145	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_RSPOv1	6145	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Calvadosia_cruxmelitensis_CRGBv3.2	1843192	Calvadosia cruxmelitensis	Calvadosia	NA	Kishinouyeidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Clytia_hemispaerica_NANAv1	252671	Clytia hemisphaerica	Clytia	NA	Clytiidae	NA	Leptothecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Discosoma_sp_MSMEv1	86600	Discosoma sp.	Discosoma	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Dynamena_pumila_WSRUv1	308606	Dynamena pumila	Dynamena	NA	Sertulariidae	NA	Leptothecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Ephydatia_muelleri_BCCAv1	6052	Ephydatia muelleri	Ephydatia	NA	Spongillidae	NA	Spongillida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Exaiptasia_diaphana_CC7v1	2652724	Exaiptasia diaphana	Exaiptasia	NA	Aiptasiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Favia_sp_REEFv1	2619190	NA	Favia	Faviinae	Mussidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Fungia_scutaria_REEFv1	46714	Lobactis scutaria	Lobactis	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Fungia_spp_REEFv1	2635559	NA	Fungia	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Galaxea_fascicularis_REEFv1	46745	Galaxea fascicularis	Galaxea	NA	Euphylliidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Goniastrea_aspera_REEFv1	1540031	Coelastrea aspera	Coelastrea	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hoilungia_hongkongensis_HCHKv1	1964320	Hoilungia hongkongensis	Hoilungia	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hormiphora_californensis_MBUSv1	1403702	Hormiphora californensis	Hormiphora	NA	Pleurobrachiidae	NA	Cydippida	NA	Tentaculata	Ctenophora	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_echinata_NWAOv1	35630	Hydractinia echinata	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_symbiolongicarpus_NEAOv1	13093	Hydractinia symbiolongicarpus	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_viridissima_99AUv1	6082	Hydra viridissima	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_vulgaris_MIJPv3	6087	Hydra vulgaris	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
